grain,level,horizon_days,budget_multiplier,historical_mean_daily_spend,hypothetical_daily_spend,hypothetical_cumulative_spend,p10_revenue,p50_revenue,p90_revenue,p10_roas,p50_roas,p90_roas,log_saturation_revenue_est,power_law_revenue_est
Bing Ads,platform,30,0.5,44.45,22.23,666.81,0.0,8204.76,8793.28,0.0,12.3,13.19,2234.66,2524.68
Bing Ads,platform,30,0.75,44.45,33.34,1000.21,0.0,8316.25,8773.5,0.0,8.31,8.77,3138.84,3282.96
Bing Ads,platform,30,1.0,44.45,44.45,1333.61,0.0,8362.76,8909.6,0.0,6.27,6.68,3943.28,3955.41
Bing Ads,platform,30,1.25,44.45,55.57,1667.01,0.0,9378.2,8921.97,0.0,5.63,5.35,4667.83,4570.49
Bing Ads,platform,30,1.5,44.45,66.68,2000.42,0.0,9378.2,9051.39,0.0,4.69,4.52,5326.92,5143.41
Bing Ads,platform,30,2.0,44.45,88.91,2667.22,0.0,10642.38,9184.99,0.0,3.99,3.44,6489.67,6196.94
Bing Ads,platform,60,0.5,44.45,22.23,1333.61,4313.15,6758.67,9040.1,3.23,5.07,6.78,4469.33,5049.36
Bing Ads,platform,60,0.75,44.45,33.34,2000.42,5080.44,6868.49,9081.06,2.54,3.43,4.54,6277.67,6565.92
Bing Ads,platform,60,1.0,44.45,44.45,2667.22,5036.28,5320.78,8728.61,1.89,1.99,3.27,7886.56,7910.83
Bing Ads,platform,60,1.25,44.45,55.57,3334.03,5197.49,10419.25,11564.82,1.56,3.13,3.47,9335.65,9140.99
Bing Ads,platform,60,1.5,44.45,66.68,4000.83,9197.6,11408.38,13996.95,2.3,2.85,3.5,10653.84,10286.81
Bing Ads,platform,60,2.0,44.45,88.91,5334.45,13375.44,13629.44,17362.2,2.51,2.55,3.25,12979.34,12393.87
Bing Ads,platform,90,0.5,44.45,22.23,2000.42,3928.4,6159.85,7722.24,1.96,3.08,3.86,6703.99,7574.05
Bing Ads,platform,90,0.75,44.45,33.34,3000.63,4003.11,6160.48,7730.42,1.33,2.05,2.58,9416.51,9848.88
Bing Ads,platform,90,1.0,44.45,44.45,4000.83,7111.86,9016.95,11067.2,1.78,2.25,2.77,11829.84,11866.24
Bing Ads,platform,90,1.25,44.45,55.57,5001.04,13355.21,11270.75,12917.03,2.67,2.25,2.58,14003.48,13711.48
Bing Ads,platform,90,1.5,44.45,66.68,6001.25,18881.71,13569.21,15985.68,3.15,2.26,2.66,15980.76,15430.22
Bing Ads,platform,90,2.0,44.45,88.91,8001.67,20062.99,18982.04,23550.95,2.51,2.37,2.94,19469.01,18590.81
Google Ads,platform,30,0.5,2194.05,1097.03,32910.81,212726.52,197510.34,244733.42,6.46,6.0,7.44,70347.54,79999.89
Google Ads,platform,30,0.75,2194.05,1645.54,49366.21,304610.01,248557.93,255138.26,6.17,5.03,5.17,101199.11,105325.16
Google Ads,platform,30,1.0,2194.05,2194.05,65821.61,304656.3,265101.97,255409.74,4.63,4.03,3.88,129747.51,128020.08
Google Ads,platform,30,1.25,2194.05,2742.57,82277.02,320672.3,307109.53,276864.03,3.9,3.73,3.37,156312.86,148940.29
Google Ads,platform,30,1.5,2194.05,3291.08,98732.42,320672.3,317461.64,292880.75,3.25,3.22,2.97,181152.85,168546.94
Google Ads,platform,30,2.0,2194.05,4388.11,131643.23,320672.3,330608.71,315558.74,2.44,2.51,2.4,226462.48,204864.56
Google Ads,platform,60,0.5,2194.05,1097.03,65821.61,222878.94,213261.84,376653.92,3.39,3.24,5.72,140695.07,159999.77
Google Ads,platform,60,0.75,2194.05,1645.54,98732.42,267348.13,305053.65,387577.31,2.71,3.09,3.93,202398.22,210650.32
Google Ads,platform,60,1.0,2194.05,2194.05,131643.23,288479.11,357250.99,406882.09,2.19,2.71,3.09,259495.02,256040.17
Google Ads,platform,60,1.25,2194.05,2742.57,164554.04,295516.01,358009.69,407695.63,1.8,2.18,2.48,312625.71,297880.58
Google Ads,platform,60,1.5,2194.05,3291.08,197464.84,295357.11,358009.69,410947.17,1.5,1.81,2.08,362305.69,337093.87
Google Ads,platform,60,2.0,2194.05,4388.11,263286.46,316766.15,358440.54,416938.6,1.2,1.36,1.58,452924.95,409729.13
Google Ads,platform,90,0.5,2194.05,1097.03,98732.42,228332.49,257931.53,277132.02,2.31,2.61,2.81,211042.61,239999.66
Google Ads,platform,90,0.75,2194.05,1645.54,148098.63,290301.04,255174.24,329032.06,1.96,1.72,2.22,303597.33,315975.48
Google Ads,platform,90,1.0,2194.05,2194.05,197464.84,313834.1,290199.21,365676.6,1.59,1.47,1.85,389242.53,384060.25
Google Ads,platform,90,1.25,2194.05,2742.57,246831.06,331231.7,290828.02,374841.07,1.34,1.18,1.52,468938.57,446820.87
Google Ads,platform,90,1.5,2194.05,3291.08,296197.27,390015.69,369102.27,430630.91,1.32,1.25,1.45,543458.54,505640.81
Google Ads,platform,90,2.0,2194.05,4388.11,394929.69,449343.72,449317.6,497624.65,1.14,1.14,1.26,679387.43,614593.69
Meta Ads,platform,30,0.5,221.41,110.7,3321.09,0.0,26237.32,43758.3,0.0,7.9,13.18,7126.02,8090.78
Meta Ads,platform,30,0.75,221.41,166.05,4981.63,0.0,27381.83,44144.69,0.0,5.5,8.86,10292.5,10790.84
Meta Ads,platform,30,1.0,221.41,221.41,6642.17,0.0,33362.58,46509.53,0.0,5.02,7.0,13243.04,13237.02
Meta Ads,platform,30,1.25,221.41,276.76,8302.71,0.0,38503.36,47112.19,0.0,4.64,5.67,16005.23,15510.24
Meta Ads,platform,30,1.5,221.41,332.11,9963.26,0.0,43054.64,47125.43,0.0,4.32,4.73,18601.67,17654.49
